brand,name,fragrantica_url,gender,concentration,release_year,main_accords,notes_top,notes_heart,notes_base,notes_undifferentiated,longevity,sillage,season_winter_votes,season_spring_votes,season_summer_votes,season_fall_votes,day_votes,night_votes,fragrantica_rating
Dior,Miss Dior Eau de Parfum Hair Mist,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Eau-de-Parfum-Hair-Mist-107262.html,femme,Eau de Parfum,2025,"vanilla;rose;powdery;floral;fruity;fresh;sweet;amber;f_gender","Pivoine;Iris;Muguet","Abricot;Pêche;Rose","Vanille;Fève de tonka;Benjoin;Musc;Bois de santal",,modéré (e),modéré (e),,,,,,,3.64
Dior,Miss Dior Parfum Hair Mist,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Parfum-Hair-Mist-107261.html,femme,Eau de Parfum,2025,"fruity;sweet;floral;citrus;amber;white floral;woody;powdery;f_gender","Mandarine;Pêche;Abricot","Fraise des bois;Notes fleuries;Jasmin","Ambre;Patchouli;Cèdre Atlas;Amberwood;Mousse",,modéré (e),modéré (e),,,,,,,3.50
Dior,Hypnotic Poison,https://www.fragrantica.fr/parfum/Dior/Hypnotic-Poison-219.html,femme,Extrait de Parfum,1998,"vanilla;sweet;almond;fruity;nutty;powdery;woody;coconut;f_gender","Noix de Coco;Prune;Abricot","Jasmin;Palissandre du Brésil;Tubéreuse;Carvi;Rose;Muguet","Vanille;Amande;Bois de santal;Musc",,faible,modéré (e),,,,,,,4.08
Dior,Hypnotic Poison Diable Rouge,https://www.fragrantica.fr/parfum/Dior/Hypnotic-Poison-Diable-Rouge-29212.html,femme,Extrait de Parfum,1998,"woody;sweet;white floral;fruity;vanilla;powdery;coconut;almond;f_gender","Noix de Coco;Prune;Abricot","Carvi;Tubéreuse;Rose;Jasmin;Muguet;Palissandre du Brésil","Vanille;Amande;Musc;Bois de santal;Ambre;Notes boisées",,,,,,,,,,4.25
Dior,Hypnotic Poison Eau de Parfum,https://www.fragrantica.fr/parfum/Dior/Hypnotic-Poison-Eau-de-Parfum-23098.html,femme,Extrait de Parfum,2014,"vanilla;sweet;soft spicy;almond;white floral;nutty;fruity;balsamic;f_gender","Réglisse;Amande","Jasmin Sambac;Fleur d'oranger","Vanille;Fève de tonka",,,,,,,,,,4.16
Dior,Hypnotic Poison Eau Secrete,https://www.fragrantica.fr/parfum/Dior/Hypnotic-Poison-Eau-Secrete-17218.html,femme,Extrait de Parfum,2013,"citrus;vanilla;white floral;sweet;fresh spicy;powdery;floral;fresh;f_gender","Mandarine de Sicile;Orange d'Italie;Bergamote de Calabre","Jasmin Sambac;Néroli de Tunisie",Vanille,,modéré (e),modéré (e),,,,,,,3.98
Dior,Hypnotic Poison Eau Sensuelle,https://www.fragrantica.fr/parfum/Dior/Hypnotic-Poison-Eau-Sensuelle-9600.html,femme,Extrait de Parfum,2010,"vanilla;sweet;powdery;woody;white floral;floral;yellow floral;tuberose;f_gender","Fleur d'oranger;Ylang-ylang;Rose","Orchidée;Tubéreuse;Notes vertes","Vanille;Bois de santal;Musc;Notes boisées",,,,,,,,,,4.16
Dior,Hypnotic Poison Elixir,https://www.fragrantica.fr/parfum/Dior/Hypnotic-Poison-Elixir-3911.html,femme,Extrait de Parfum,2008,"soft spicy;vanilla;anis;sweet;powdery;white floral;floral;balsamic;f_gender",,,,"Vanille;Réglisse;Badiane de Chine;Jasmin",,,,,,,,,4.46
Dior,Hypnotic Poison Extrait de Parfum,https://www.fragrantica.fr/parfum/Dior/Hypnotic-Poison-Extrait-de-Parfum-11402.html,femme,Extrait de Parfum,,"vanilla;white floral;rose;sweet;powdery;citrus;floral;balsamic;f_gender","Jasmin;Fleur d'oranger d'Afrique",Rose,Vanille,,très longue tenue,puissant,,,,,,,4.23
Dior,Hypnotic Poison Roller Pearl,https://www.fragrantica.fr/parfum/Dior/Hypnotic-Poison-Roller-Pearl-53828.html,femme,Extrait de Parfum,2019,"vanilla;almond;powdery;soft spicy;woody;nutty;anis;sweet;f_gender",,,,"Vanille;Amande amère;Bois de santal;Badiane de Chine;Jasmin Sambac;Musc",,,,,,,,,4.36
