brand,name,fragrantica_url,gender,concentration,release_year,main_accords,notes_top,notes_heart,notes_base,notes_undifferentiated,longevity,sillage,season_winter_votes,season_spring_votes,season_summer_votes,season_fall_votes,day_votes,night_votes,fragrantica_rating
dior,Dior Addict Shine,https://www.fragrantica.com/perfume/Dior/Dior-Addict-Shine-1513.html,femme,Eau de Parfum,2007,"citrus;fruity;white floral;sweet;woody;aromatic;lactonic",,,,,,,60,316,344,84,451,73,4.07
dior,Addict Peachy Glow Eau de Parfum,https://www.fragrantica.com/perfume/Dior/Addict-Peachy-Glow-Eau-de-Parfum-121566.html,femme,Eau de Parfum,2025,"vanilla;sweet;fruity;white floral;powdery;lactonic",Peach,Jasmine,"Whipped Cream;Vanilla",,,,28,118,123,32,134,17,2.91
dior,Addict Purple Glow Eau De Parfum,https://www.fragrantica.com/perfume/Dior/Addict-Purple-Glow-Eau-De-Parfum-121565.html,femme,Eau de Parfum,2025,"fruity;iris;sweet;powdery;violet;vanilla;earthy","Candied Flowers;Raspberry;Powdered Sugar",Tuscan Iris,Vanilla,,,,67,170,139,65,159,48,3.36
dior,Addict Rosy Glow Eau de Parfum,https://www.fragrantica.com/perfume/Dior/Addict-Rosy-Glow-Eau-de-Parfum-121567.html,femme,Eau de Parfum,2025,"rose;caramel;fruity;tropical;fresh;floral;sweet",Lychee,Rose,Caramel,,,,,,,,,,3.36
dior,Dior Homme,https://www.fragrantica.com/perfume/Dior/Dior-Homme-13015.html,homme,Eau de Parfum,2011,"iris;cacao;powdery;earthy;aromatic;woody;violet;leather;warm spicy;lavender","Lavender;Bergamot;Sage","Iris;Cacao;Amber","Leather;Vetiver;Patchouli",,,,,,,,,,4.42
dior,Dior Homme 2005,https://www.fragrantica.com/perfume/Dior/Dior-Homme-2005-230.html,homme,Eau de Parfum,2005,"iris;warm spicy;aromatic;earthy;cacao;powdery;woody;lavender;violet;leather","Lavender;Bergamot;Sage","Iris;Cacao;Amber;Cardamom","Leather;Tahitian Vetiver;Patchouli",,,,1100,727,311,1100,912,1100,4.42
dior,Dior Homme 2020,https://www.fragrantica.com/perfume/Dior/Dior-Homme-2020-58714.html,homme,Eau de Toilette,2020,"woody;musky;aromatic;amber;citrus;powdery","Bergamot;Pink Pepper;elemi","Atlas Cedar;Cashmere Wood;Patchouli","Iso E Super;Haitian Vetiver;White Musk",,,,3800,5100,4200,5100,4900,4000,4.23
dior,Dior Homme Cologne,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Cologne-1770.html,homme,Parfum,2007,"citrus;aromatic;iris;woody;earthy;warm spicy;powdery;fresh spicy;cacao;leather","Mandarin Orange;Neroli;
dior,Dior Homme Cologne,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Cologne-1770.html,homme,Parfum,2007,"citrus;aromatic;iris;woody;earthy;warm spicy;powdery;fresh spicy;cacao;leather","Mandarin Orange;Neroli;Bergamot;Lavender;Cardamom;Sage",Iris,"Vetiver;Cacao;Leather;Amber;Patchouli",,,,30,136,124,73,145,54,4.19
dior,Dior Homme Cologne 2013,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Cologne-2013-17256.html,homme,Eau de Parfum,2013,"citrus;white floral;fresh spicy;musky;powdery;aromatic",Calabrian bergamot,Grapefruit blossom,Musk,,,,173,2000,3300,381,3000,402,4.44
dior,Dior Homme Cologne 2022,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Cologne-2022-72062.html,homme,Eau de Parfum,2022,"citrus;musky;fresh spicy;white floral;powdery;aromatic",Calabrian bergamot,Grapefruit blossom,White Musk,,,,181,2200,3500,387,3000,404,4.52
